dc:title,prism:doi,dc:creator,affilname,affiliation-city,affiliation-country
"Machine-learning-based prediction of land prices in Seoul, South Korea",10.3390/su132313088,Kim J.,Real Estate Artificial Intelligence Research Institute,Seoul,South Korea
Predictive analytics using Big Data for the real estate market during the COVID-19 pandemic,10.1186/s40537-021-00476-0,Grybauskas A.,Kaunas University of Technology,Kaunas,Lithuania
A BIM and machine learning integration framework for automated property valuation,10.1016/j.jobe.2021.102636,Su T.,Cardiff University,Cardiff,United Kingdom
Applying data mining algorithms to real estate appraisals: a comparative study,10.1108/IJHMA-07-2020-0080,Oliveira T.C.d.,Instituto de Tecnologia para o Desenvolvimento,Curitiba,Brazil
"Visitation rate analysis of geoheritage features from earth science education perspective using automated landform classification and crowdsourcing: A geoeducation capacity map of the auckland volcanic field, New Zealand",10.3390/geosciences11110480,Németh B.,Massey University,Palmerston North,New Zealand
Street view imagery in urban analytics and GIS: A review,10.1016/j.landurbplan.2021.104217,Biljecki F.,National University of Singapore,Singapore City,Singapore
BIM-based green building evaluation and optimization: A case study,10.1016/j.jclepro.2021.128824,Guo K.,School of Civil and Environmental Engineering,Singapore City,Singapore
"Review of transit data sources: Potentials, challenges and complementarity",10.3390/su132011450,Ge L.,Leuphana Universität Lüneburg,Luneburg,Germany
Define–investigate–estimate–map (Diem) framework for modeling habitat threats,10.3390/su132011259,Muhammed K.,FAMU-FSU College of Engineering,Tallahassee,United States
"No Longer Out of Sight, No Longer Out of Mind? How Organizations Engage with Process Mining-Induced Transparency to Achieve Increased Process Awareness",10.1007/s12599-021-00715-x,Eggers J.,"Fakultät für Informatik, Technische Universität München",Garching bei Munchen,Germany
Roofpedia: Automatic mapping of green and solar roofs for an open roofscape registry and evaluation of urban sustainability,10.1016/j.landurbplan.2021.104167,Wu A.N.,National University of Singapore,Singapore City,Singapore
The landscape of econometric discrete choice modelling research,10.1016/j.jocm.2021.100303,Haghani M.,The University of Sydney Business School,Sydney,Australia
Revealing the differences of urban parks’ services to human wellbeing based upon social media data,10.1016/j.ufug.2021.127233,Wang Z.,UNSW Sydney,Sydney,Australia
The value of big data for analyzing growth dynamics of technology-based new ventures,10.1016/j.techfore.2021.120794,Malyy M.,Peking University,Beijing,China
A high resolution spatiotemporal urban heat load model for gb,10.3390/en14144078,Siddiqui S.,Skolkovo Institute of Science and Technology,Moscow,Russian Federation
Eliciting users’ preferences and values in urban parks: Evidence from analyzing social media data from Hong Kong,10.1016/j.ufug.2021.127172,Wan C.,The Bartlett Faculty of the Built Environment,London,United Kingdom
A computer-assisted expert algorithm for real estate valuation in Spanish cities,10.1177/2399808320947729,Larraz B.,Nottingham Business School,Nottingham,United Kingdom
Integrating multiple data to identify building functions in China’s urban villages,10.1177/2399808320938796,Niu N.,Hong Kong Polytechnic University,Kowloon,Hong Kong
The predictability of house prices: “human against machine”,,Birkeland K.B.,Universidad de Castilla-La Mancha,Ciudad Real,Spain
"Sustainable agri‐food systems: Environment, economy, society, and policy",10.3390/su13116260,El Bilali H.,Henan University of Economics and Law,Zhengzhou,China
Ethics and business: A global introduction,10.4324/9781003193951,Wernaart B.,Norges Teknisk-Naturvitenskapelige Universitet,Trondheim,Norway
Research on real estate pricing methods based on data mining and machine learning,10.1007/s00521-020-05469-3,Yu Y.,Istituto Agronomico Mediterraneo di Bari,Valenzano,Italy
Property mass valuation on small markets,10.3390/land10040388,Gnat S.,Fontys University of Applied Sciences,Eindhoven,Netherlands
"Nighttime light remote sensing and urban studies: Data, methods, applications, and prospects",10.11834/jrs.20211018,Yu B.,Yango University,Fuzhou,China
The novelty hybrid model development proposal for mass appraisal of real estates in sustainable land management,10.1080/00396265.2021.1996797,Sisman S.,Uniwersytet Szczecinski,Szczecin,Poland
Boosted Tree Ensembles for Artificial Intelligence Based Automated Valuation Models (AI-AVM),10.1007/s11146-021-09861-1,Sing T.F.,Real Estate Artificial Intelligence Research Institute,Seoul,South Korea
Comparing OLS based hedonic model and ANN in house price estimation using relative location,10.1007/s41324-021-00416-3,Mankad M.D.,Kaunas University of Technology,Kaunas,Lithuania
Predicting home sale prices: A review of existing methods and illustration of data stream methods for improved performance,10.1002/widm.1435,Shi D.,Cardiff University,Cardiff,United Kingdom
Spatial Automated Valuation Model (sAVM) – From the Notion of Space to the Design of an Evaluation Tool,10.1007/978-3-030-86973-1_6,Marques J.L.,Instituto de Tecnologia para o Desenvolvimento,Curitiba,Brazil
"Predictive rental values model for low-income earners in slums: the case of Ijora, Nigeria",10.1080/15623599.2021.1975021,Iroham C.O.,Massey University,Palmerston North,New Zealand
Enhancing the performance of a neural network with entity embeddings: an application to real estate valuation,10.1007/s10901-021-09885-2,Lee C.,National University of Singapore,Singapore City,Singapore
Are Estimates of Rapid Growth in Urban Land Values an Artifact of the Land Residual Model?,10.1007/s11146-021-09834-4,Clapp J.M.,School of Civil and Environmental Engineering,Singapore City,Singapore
Integration of BIM and advanced digital technologies to the end of life decision-making process: a paradigm of future opportunities,10.1108/JEDT-12-2020-0524,Abruzzini A.,Leuphana Universität Lüneburg,Luneburg,Germany
The Delphi method to identify attributes for a valuation approach for residential property exposed to flood risk,10.1108/PM-10-2020-0067,Zulkarnain S.H.,FAMU-FSU College of Engineering,Tallahassee,United States
The importance of location factors in determining land prices: The evidence from Bratislava's hinterland,10.18335/region.v8i1.328,Mari M.,"Fakultät für Informatik, Technische Universität München",Garching bei Munchen,Germany
Novel exploratory spatiotemporal analysis to identify sociospatial patterns at small areas using property transaction data in dublin,10.3390/land10060566,Rabiei-Dastjerdi H.,National University of Singapore,Singapore City,Singapore
"Construction project planning and scheduling as a dynamic system: a content analysis of the current status, technologies and forward action",10.1108/SASBE-02-2021-0022,Nwadigo O.B.K.,The University of Sydney Business School,Sydney,Australia
Metrics for evaluating the performance of machine learning based automated valuation models,10.1080/09599916.2020.1858937,Steurer M.,UNSW Sydney,Sydney,Australia
Human emotion recognition in the significance assessment of property attributes,10.1007/s10901-021-09833-0,Renigier-Biłozor M.,Peking University,Beijing,China
Comparison of models to forecast real estates index introducing machine learning,10.5659/JAIK.2021.37.1.191,Lee J.M.,Skolkovo Institute of Science and Technology,Moscow,Russian Federation
A Comparison of Residential Apartment Rent Price Predictions Using a Large Data Set: Kriging Versus Deep Neural Network,10.1111/gean.12283,Seya H.,The Bartlett Faculty of the Built Environment,London,United Kingdom
Green buildings for post carbon city: Determining market premium using spline smoothing semiparametric method,10.1007/978-3-030-48279-4_114,Del Giudice V.,Nottingham Business School,Nottingham,United Kingdom
